year,mean_temp,total_rainfall,mean_rh,mean_sunshine,rainy_days,births
1986-01-01,26.3,229.4,83.0,5.2,32,9954
1986-04-01,27.8,139.3,83.2,6.4,40,9353
1986-07-01,27.6,192.9,80.5,5.5,45,9854
1986-10-01,26.6,283.7,84.8,5.0,57,10239
1987-01-01,26.5,262.7,82.7,6.7,35,8834
1987-04-01,28.1,156.4,82.7,6.2,41,10488
1987-07-01,27.7,134.2,82.5,5.7,38,11724
1987-10-01,27.2,147.7,83.6,5.0,37,12843
1988-01-01,27.1,194.1,84.3,5.9,39,11127
1988-04-01,28.1,197.1,82.9,5.8,40,12068
1988-07-01,27.1,275.3,84.5,5.2,43,13800
1988-10-01,26.7,199.6,83.7,4.5,51,15827
1989-01-01,26.5,182.7,83.3,5.7,34,11300
1989-04-01,27.3,170.1,85.4,5.6,41,11090
1989-07-01,27.2,202.0,83.6,5.6,44,12110
1989-10-01,26.7,266.4,85.1,5.2,54,13169
1990-01-01,27.3,88.6,80.8,7.5,25,11284
1990-04-01,28.5,115.0,81.0,6.4,30,11861
1990-07-01,27.6,158.4,82.7,5.6,42,13267
1990-10-01,27.0,146.0,84.3,5.3,45,14730
1991-01-01,27.2,87.3,81.9,6.6,30,11559
1991-04-01,28.0,159.8,84.0,6.0,45,11560
1991-07-01,28.1,128.9,80.5,5.4,28,12581
1991-10-01,26.5,249.8,86.2,3.6,43,13414
1992-01-01,27.4,71.3,81.2,7.2,19,11639
1992-04-01,28.2,128.7,82.8,5.9,40,11441
1992-07-01,27.5,150.2,82.6,5.1,43,12781
1992-10-01,26.3,403.4,86.7,3.9,61,13541
1993-01-01,26.5,165.4,84.2,6.5,33,11525
1993-04-01,28.1,176.4,82.8,6.2,47,12014
1993-07-01,28.1,136.2,81.3,6.2,33,13079
1993-10-01,27.0,244.9,86.4,4.7,50,13607
1994-01-01,26.9,159.5,84.6,5.3,41,11669
1994-04-01,28.0,169.4,84.4,5.6,45,12005
1994-07-01,28.3,40.9,79.2,6.0,24,12547
1994-10-01,27.2,277.4,85.1,4.8,50,13333
1995-01-01,27.0,250.4,85.9,5.3,47,11412
1995-04-01,28.4,130.1,83.6,6.1,39,11804
1995-07-01,27.9,138.2,83.3,5.0,41,12471
1995-10-01,27.0,258.8,85.4,3.8,52,12948
1996-01-01,26.8,161.0,83.3,6.2,29,11501
1996-04-01,28.2,183.8,84.5,6.1,45,11623
1996-07-01,27.8,239.2,82.5,5.5,46,12208
1996-10-01,27.1,221.9,83.1,4.4,50,13245
1997-01-01,27.5,51.7,79.2,6.5,21,10937
1997-04-01,28.9,79.6,79.0,6.5,30,11170
1997-07-01,28.8,45.4,77.2,5.1,21,12106
1997-10-01,27.8,196.2,83.0,4.6,44,13120
1998-01-01,28.8,120.0,79.8,8.0,25,10788
1998-04-01,29.1,252.4,82.1,6.0,46,10869
1998-07-01,27.8,237.5,83.8,4.7,53,11042
1998-10-01,27.5,264.4,84.2,4.2,53,10965
1999-01-01,27.0,147.6,86.1,5.0,44,10268
1999-04-01,28.2,116.3,83.0,5.8,40,10863
1999-07-01,27.7,185.1,82.8,6.3,37,10930
1999-10-01,27.1,262.3,84.8,4.5,56,11275
2000-01-01,26.7,250.4,86.4,5.2,47,11137
2000-04-01,27.9,188.6,84.1,5.6,46,11264
2000-07-01,27.9,103.6,82.9,5.9,42,12120
2000-10-01,27.4,247.5,85.6,4.0,53,12476
2001-01-01,27.0,269.9,85.2,4.9,52,10286
2001-04-01,28.1,168.4,84.5,5.4,41,10372
2001-07-01,28.1,143.9,82.3,6.4,36,10224
2001-10-01,27.2,345.5,85.1,4.2,55,10569
2002-01-01,27.5,109.2,81.8,7.3,21,9684
2002-04-01,28.7,145.4,82.2,6.4,38,9926
2002-07-01,28.3,137.4,81.2,6.3,34,10350
2002-10-01,27.8,191.0,84.8,5.2,46,10800
2003-01-01,27.3,257.2,85.2,5.8,44,9130
2003-04-01,28.7,97.3,82.3,6.0,43,9222
2003-07-01,28.0,189.8,83.2,5.6,42,9402
2003-10-01,27.1,252.7,86.5,4.4,57,9731
2004-01-01,27.4,300.7,84.3,6.4,33,8889
2004-04-01,28.9,107.3,81.4,6.4,30,8951
2004-07-01,27.8,160.2,83.1,5.8,42,9279
2004-10-01,27.3,143.9,85.1,5.2,42,10055
2005-01-01,27.9,84.7,80.4,7.6,23,8644
2005-04-01,28.7,165.0,82.8,6.0,45,9431
2005-07-01,28.1,112.7,83.7,6.0,46,9714
2005-10-01,27.4,281.1,85.7,4.7,61,9703
2006-01-01,27.4,217.7,84.4,6.4,37,8999
2006-04-01,27.8,227.4,86.2,5.3,48,9329
2006-07-01,28.2,121.5,82.2,6.3,41,9822
2006-10-01,27.4,351.2,85.6,4.5,48,10167
2007-01-01,27.1,274.9,84.7,5.8,44,9200
2007-04-01,28.3,168.8,84.1,5.8,42,9247
2007-07-01,27.7,160.5,83.7,5.1,52,10347
2007-10-01,27.0,357.9,85.5,4.5,57,10696
2008-01-01,26.7,228.6,85.3,5.3,43,9592
2008-04-01,28.4,110.1,80.9,6.1,36,9696
2008-07-01,27.6,193.6,82.6,5.2,51,10096
2008-10-01,27.3,242.7,84.8,4.4,52,10442
2009-01-01,27.1,154.5,81.7,6.2,32,9498
2009-04-01,28.8,134.7,81.7,6.6,37,9426
2009-07-01,28.3,149.5,81.2,6.1,41,10134
2009-10-01,27.5,201.7,84.9,4.9,56,10512
2010-01-01,28.3,104.6,79.8,7.3,25,9320
2010-04-01,28.7,185.5,83.4,5.9,54,9424
2010-07-01,27.9,192.8,83.8,5.2,47,9631
2010-10-01,27.5,208.8,84.5,4.3,52,9592
2011-01-01,26.9,264.3,84.1,5.5,47,9319
2011-04-01,28.3,185.9,84.3,6.0,42,9820
2011-07-01,28.1,98.1,82.2,6.3,34,10062
2011-10-01,27.0,293.1,87.9,4.4,65,10453
2012-01-01,27.0,167.7,86.7,5.7,48,9995
2012-04-01,28.2,201.9,82.4,5.8,47,10146
2012-07-01,27.8,119.1,80.2,6.0,39,10954
2012-10-01,27.2,231.3,84.6,4.6,57,11568
2013-01-01,27.3,247.7,83.1,5.8,47,10023
2013-04-01,28.5,160.7,80.1,5.7,48,9507
2013-07-01,27.7,199.1,80.1,5.5,49,9864
2013-10-01,27.1,308.7,83.4,4.8,62,10326
2014-01-01,27.1,47.2,76.3,7.4,12,9905
2014-04-01,28.6,102.4,79.2,5.8,46,10466
2014-07-01,28.3,157.7,77.9,5.7,44,10670
2014-10-01,27.6,205.5,80.7,5.0,50,11191
2015-01-01,27.4,60.9,76.3,7.3,17,10168
2015-04-01,28.8,86.0,77.3,6.6,35,10089
2015-07-01,28.7,121.4,75.5,5.8,32,10783
2015-10-01,28.1,154.0,78.5,4.9,41,11145
2016-01-01,28.4,106.3,77.7,7.2,31,9927
2016-04-01,29.1,148.8,76.9,6.2,39,10278
2016-07-01,28.5,142.2,75.1,6.2,50,10622
2016-10-01,27.7,254.6,74.1,4.4,59,10424
2017-01-01,27.1,164.1,83.5,6.0,47,9793
2017-04-01,28.3,168.2,82.2,5.8,46,9440
2017-07-01,28.1,96.1,80.2,6.3,46,10163
2017-10-01,27.3,253.5,84.7,5.1,65,10219
2018-01-01,27.1,115.5,80.7,6.2,40,9598
2018-04-01,28.5,125.3,78.9,5.6,50,9427
2018-07-01,28.3,136.4,77.3,6.3,34,9841
2018-10-01,27.6,192.2,81.5,5.0,64,10173
2019-01-01,28.3,55.8,74.0,8.2,20,9402
2019-04-01,28.8,139.2,78.8,6.1,38,9487
2019-07-01,29.0,15.6,73.4,7.3,18,10063
2019-10-01,27.6,245.2,80.4,5.6,44,10327
2020-01-01,28.1,87.4,76.4,7.7,22,9403
2020-04-01,28.6,225.8,78.6,5.7,49,9543
2020-07-01,27.9,131.5,78.0,5.6,52,9836
2020-10-01,27.6,184.2,79.4,4.5,55,9808
2021-01-01,27.1,292.1,77.7,6.6,33,8949
2021-04-01,28.5,209.9,78.2,6.4,47,9457
2021-07-01,28.2,231.6,78.1,6.0,50,10128
2021-10-01,27.9,203.0,79.9,5.5,52,10138
2022-01-01,27.6,146.0,79.0,6.9,46,8995
2022-04-01,28.4,184.5,78.5,5.5,47,8551
2022-07-01,28.2,135.9,77.0,5.2,45,9239
